,company,company_link,company_rating
0,"Autism Companion Services, LLC",www.indeed.com/cmp/Autism-Companion-Services,3.4
1,Driscoll Health,,
2,"e.serv Technical Solutions, Inc.",,
3,Methodist Health System,www.indeed.com/cmp/Methodist-Health-System-6c7cde7a,3.9
4,RAC Brands,www.indeed.com/cmp/Rent--a--center,3.1
5,TRESUME,,
6,Apisero,,
7,Kum & Go,www.indeed.com/cmp/Kum-&-Go,3.4
8,ASML,www.indeed.com/cmp/Asml,3.9
9,Devcare Solutions,www.indeed.com/cmp/Devcare-Solutions,3.7
10,ComTec information system,www.indeed.com/cmp/Comtec-Information-Systems,3.7
11,United We Dream,www.indeed.com/cmp/United-We-Dream,4.0
12,Vetro Tech Inc,,
13,Leidos,www.indeed.com/cmp/Leidos,3.7
14,iTrending Solutions,,
15,Houston Independent School District,www.indeed.com/cmp/Houston-Independent-School-District,3.7
16,South Orange County Community College District,www.indeed.com/cmp/South-Orange-County-Community-College-District,4.8
17,ECCO Select,www.indeed.com/cmp/Ecco-Select,3.5
18,GENUENT,,
19,USAA,www.indeed.com/cmp/Usaa,3.8
20,Ivy Tech Solutions inc,www.indeed.com/cmp/Ivy-Tech-Solutions-Inc,4.5
21,"SunPlus Data Group, Inc.","www.indeed.com/cmp/Sunplus-Data-Group,-Inc.",3.5
22,Symetra,www.indeed.com/cmp/Symetra,3.2
23,Phoenix Loss Control,www.indeed.com/cmp/Phoenix-Loss-Control,4.2
24,Clutter,www.indeed.com/cmp/Clutter,3.1
25,MKS2 Technologies,,
26,Master It Behavior Therapy,,
27,Ruan Transportation Management Systems,www.indeed.com/cmp/Ruan,3.3
28,MasterCraft Boat Company,www.indeed.com/cmp/Mastercraft-Boat-Company,3.4
29,Pinterest,www.indeed.com/cmp/Pinterest,4.2
30,FCM,www.indeed.com/cmp/Flight-Centre,3.4
31,GSG Talent Solutions - State Branch,www.indeed.com/cmp/Gsg-Talent-Solutions,4.0
32,CommunityMed Family Urgent Care,www.indeed.com/cmp/Communitymed-Urgent-Care,3.8
33,Unwired Solutions,,
34,IntraFi Network,www.indeed.com/cmp/Promontory-Interfinancial-Network-1,3.8
35,"Daiichi Sankyo, Inc.",www.indeed.com/cmp/Daiichi-Sankyo,3.8
36,Barnes & Noble,www.indeed.com/cmp/Barnes-&-Noble,3.8
37,Locks Global Staffing LLC,,
38,Disney,www.indeed.com/cmp/The-Walt-Disney-Company,4.1
39,SFORCE IT,,
40,Zora,,
41,Razorfish,www.indeed.com/cmp/Razorfish,3.8
42,HomeRiver Group,www.indeed.com/cmp/Homeriver-Group,3.3
43,1 Point System,,
44,Allied Stone Inc,"www.indeed.com/cmp/Allied-Stone,-Inc.",2.6
45,CyberCoders,www.indeed.com/cmp/Cybercoders,3.7
46,Internal Data Resources,www.indeed.com/cmp/Internal-Data-Resources,3.6
47,MTC Holding Corporation,,
48,WELLS FARGO BANK,www.indeed.com/cmp/Wells-Fargo,3.7
49,"CGI Group, Inc.",www.indeed.com/cmp/CGI,3.6
50,ITAC Solutions,www.indeed.com/cmp/Itac-Solutions,4.1
51,"PDS Tech, Inc.","www.indeed.com/cmp/Pds-Tech,-Inc.",3.9
52,JND,www.indeed.com/cmp/Jnd-1,3.5
53,Cisco Meraki,www.indeed.com/cmp/Cisco-Meraki-3,4.0
54,Strive Health,www.indeed.com/cmp/Strive-Health,3.8
55,Dentsply Sirona,www.indeed.com/cmp/Dentsply-Sirona,3.5
56,California Department of Social Services,,
57,Ericsson,www.indeed.com/cmp/Ericsson--worldwide-1,4.1
58,AFR Services,,
59,UNC Health Care,www.indeed.com/cmp/Unc-Health,3.9
60,Cenergy International,www.indeed.com/cmp/Cenergy-International-Services,4.1
61,Abacus Service Corporation,,
62,Mack & Associates,www.indeed.com/cmp/Mack-&-Associates,4.1
63,Epsilon,www.indeed.com/cmp/Epsilon-3,3.4
64,Service Credit Union,www.indeed.com/cmp/Service-Credit-Union,3.9
65,CloudBig Technology,,
66,SRIVANGO TECHNOLOGIES,,
67,Halliburton,www.indeed.com/cmp/Halliburton,3.9
68,Ingress IT Solutions,,
69,US Centers for Medicare & Medicaid Services,www.indeed.com/cmp/Centers-For-Medicare-and-Medicaid-Services,4.0
70,Synergis,www.indeed.com/cmp/Synergis,3.5
71,Planned Parenthood Federation of America,www.indeed.com/cmp/Planned-Parenthood,3.6
72,Granify,,
73,Mercy Health,www.indeed.com/cmp/Trinity-Health,3.2
74,Delaware North,www.indeed.com/cmp/Delaware-North,3.7
75,Meraki Solutions,www.indeed.com/cmp/Meraki-Solar-LLC,4.3
76,Empath Health,www.indeed.com/cmp/Empath-Health-2,3.5
77,NYU Langone Health,www.indeed.com/cmp/Nyu-Langone-Health,4.0
78,Johnson Service Group Inc.,www.indeed.com/cmp/Johnson-Service-Group-Inc,3.7
79,Front End,,
80,LendingUSA,,
81,Gables Search Group,www.indeed.com/cmp/Gables-Search-Group,5.0
82,Atlantis It consulting,,
83,WorkCog,,
84,The New York Times,www.indeed.com/cmp/The-New-York-Times,4.0
85,Bank of America,www.indeed.com/cmp/Bank-of-America,3.8
86,Pancreatic Cancer Action Network,www.indeed.com/cmp/Pancreatic-Cancer-Action-Network,3.5
87,Rock Central,www.indeed.com/cmp/Rock-Central,3.0
88,Autodesk,www.indeed.com/cmp/Autodesk,4.1
89,Syntagma Group,www.indeed.com/cmp/Syntagma-Group,3.0
90,Ally Financial,www.indeed.com/cmp/Ally-Financial,3.6
91,Corporate,www.indeed.com/cmp/Centene,3.2
92,Liberty Personnel Services,www.indeed.com/cmp/Liberty-Personnel-Services,4.5
93,H.W. Kaufman Group,www.indeed.com/cmp/H.w.-Kaufman-Group,4.8
94,Bayone Techno Advisors Private Limited,,
95,Aston Carter,www.indeed.com/cmp/Aston-Carter,3.0
96,Securian Financial Group,www.indeed.com/cmp/Securian-Financial-Group,3.8
97,Ebyte Technologies Inc.,,
98,FlexIT Inc,,
99,LPL Financial,www.indeed.com/cmp/Lpl-Financial,3.6
100,GPRS,www.indeed.com/cmp/Gprs-2,3.9
101,BEPC Inc,www.indeed.com/cmp/Bepc-Inc,4.4
102,US Med-Equip,www.indeed.com/cmp/US-Med--equip,3.2
103,Southwest Airlines Federal Credit Union,www.indeed.com/cmp/Southwest-Airlines-Federal-Credit-Union,3.8
104,The Panther Group,www.indeed.com/cmp/The-Panther-Group,3.2
105,"Pyramid Consulting, Inc","www.indeed.com/cmp/Pyramid-Consulting,-Inc.",4.0
106,ALTA IT Services,www.indeed.com/cmp/Alta-IT-Services,3.5
107,PlanetArt,www.indeed.com/cmp/Planetart,4.0
108,Gridiron IT,www.indeed.com/cmp/Gridiron-IT,4.0
109,Firstsource Healthcare,www.indeed.com/cmp/Firstsource-Solutions-1,3.3
110,Oscar Health,www.indeed.com/cmp/Oscar-Health-1,3.3
111,ProIT Inc.,,
112,"PMCS Services, Inc",,
113,TikTok,www.indeed.com/cmp/Tiktok,3.5
114,Fabletics,www.indeed.com/cmp/Fabletics,4.3
115,Anblicks,,
116,HCSC,www.indeed.com/cmp/Hcsc,3.6
117,Home Depot / THD,www.indeed.com/cmp/The-Home-Depot,3.7
118,Sanametrix,www.indeed.com/cmp/Sanametrix,4.4
119,Insight Global,www.indeed.com/cmp/Insight-Global,3.9
120,Premier Comp Solutions,www.indeed.com/cmp/Premier-Comp-Solutions,3.1
121,Sunbelt Staffing,www.indeed.com/cmp/Sunbelt-Staffing,3.9
122,TEKsystems,www.indeed.com/cmp/TEKsystems,3.9
123,Applied Behavior Center for Autism,www.indeed.com/cmp/Applied-Behavior-Center-For-Autism-1,2.4
124,Silent Falcon UAS Technologies,,
125,"Atmosfy, Inc",,
126,Toyota,www.indeed.com/cmp/Toyota-North-America-9,3.9
127,"City of Plano, Texas","www.indeed.com/cmp/City-of-Plano,-Texas-1",4.0
128,Shared Services Center,www.indeed.com/cmp/Virginia-Community-College-System,2.8
129,Arthrex,www.indeed.com/cmp/Arthrex,3.7
130,Geopaq Logic,,
131,Guerbet,www.indeed.com/cmp/Guerbet,3.6
132,Envision,www.indeed.com/cmp/Envision-61fa01ee,4.0
133,Verdani Partners,www.indeed.com/cmp/Verdani-Partners,4.7
134,LOCKHEED MARTIN CORPORATION,www.indeed.com/cmp/Lockheed-Martin,4.0
135,Media.Monks,,
136,Vital Farms,www.indeed.com/cmp/Vital-Farms,3.3
137,CuraLinc Healthcare,www.indeed.com/cmp/Curalinc-Healthcare-2,4.1
138,Tesla,www.indeed.com/cmp/Tesla,3.4
139,Aries Solutions,,
140,Allegiant Solution Group,,
141,Utilisave,"www.indeed.com/cmp/Utilisave,-LLC",3.2
142,RPO International,,
143,Fannie Mae,www.indeed.com/cmp/Fannie-Mae,4.0
144,"Navistar, Inc.","www.indeed.com/cmp/Navistar,-Inc.",3.5
145,Cloudinfraspecs,,
146,Pentecom,"www.indeed.com/cmp/Pentecom,-Inc",3.3
147,DISYS,www.indeed.com/cmp/Disys,3.5
148,Valiant Enterprises LLC,,
149,Public Consulting Group,www.indeed.com/cmp/Public-Consulting-Group,3.9
150,Instruction Partners,www.indeed.com/cmp/Instruction-Partners,4.8
151,Juristat,,
152,Decide,,
153,J Michael Consulting LLC,,
154,"Valued Relationships, Inc.",www.indeed.com/cmp/Vri-9,3.1
155,"Caresoft Global, Inc","www.indeed.com/cmp/Caresoft-Global,-Inc",2.9
156,BECOME AN OSTRONAUT,,
157,Bethesda Game Studios,www.indeed.com/cmp/Bethesda-Game-Studios,4.3
158,"Computer Enterprises, Inc. (CEI)","www.indeed.com/cmp/Computer-Enterprises,-Inc.-(cei)",3.4
159,UT Southwestern,www.indeed.com/cmp/Ut-Southwestern-Medical-Center,3.8
160,UnitedHealth Group,www.indeed.com/cmp/UnitedHealth-Group,3.6
161,Walmart Call Center,www.indeed.com/cmp/Walmart,3.4
162,Metropolitan Library System,www.indeed.com/cmp/Metropolitan-Library-System,3.7
163,Clairvoyant,,
164,Spokeo,www.indeed.com/cmp/Spokeo,3.3
165,Phasorsoft LLC,,
166,Acunor,,
167,Titus Regional Medical Center,www.indeed.com/cmp/Titus-Regional-Medical-Center,3.3
168,BlueCross BlueShield of South Carolina,www.indeed.com/cmp/Blue-Cross-Blue-Shield,3.7
169,Plante Moran,www.indeed.com/cmp/Plante-Moran,3.6
170,Goldman Sachs,www.indeed.com/cmp/Goldman-Sachs,4.0
171,"JPMorgan Chase Bank, N.A.",www.indeed.com/cmp/Chase-2,3.8
172,EnergyHub,,
173,Okaya Corp,,
174,Braintrust,www.indeed.com/cmp/Braintrust,4.5
175,Live Nation,www.indeed.com/cmp/Live-Nation,4.1
176,HP,www.indeed.com/cmp/HP-2,4.0
177,The i4 Group,,
178,Crystal Management,www.indeed.com/cmp/Crystal-Management,2.7
179,Saimon System,,
180,Taskrabbit,www.indeed.com/cmp/Taskrabbit,3.4
181,findhelp,www.indeed.com/cmp/Findhelp,4.6
182,nLeague Services Inc.,,
183,DataEdge Usa,,
184,Chase Cost Management LLC,,
185,Wilbur-Ellis Company LLC,www.indeed.com/cmp/Wilbur--ellis-Company,3.7
186,"GP Mobile, A T-Mobile Premium Retailer",,
187,PCS GLOBAL TECH,www.indeed.com/cmp/Pcs-Global-Tech-1,3.3
188,UtiliSave LLC,,
